2026-07-31T22:05:46,318954901+08:00
0, 1, 0, 69.76
1, 1, 0, 72.44
2, 1, 0, 68.25
3, 1, 0, 71.68
4, 1, 0, 69.60
5, 1, 0, 69.91
6, 1, 0, 70.01
7, 1, 0, 70.16
2026-07-31T22:05:56,528378957+08:00
0, 4, 0, 69.67
1, 1, 0, 72.53
2, 1, 0, 68.33
3, 1, 0, 71.71
4, 1, 0, 69.58
5, 1, 0, 69.89
6, 1, 0, 69.94
7, 1, 0, 70.14
2026-07-31T22:06:06,741330431+08:00
0, 1, 0, 69.60
1, 1, 0, 72.64
2, 1, 0, 68.30
3, 1, 0, 71.67
4, 1, 0, 69.61
5, 1, 0, 69.93
6, 1, 0, 69.92
7, 1, 0, 70.15
2026-07-31T22:06:16,927217546+08:00
0, 4, 0, 69.58
1, 1, 0, 72.49
2, 1, 0, 68.27
3, 1, 0, 71.62
4, 1, 0, 69.60
5, 1, 0, 69.92
6, 1, 0, 69.95
7, 1, 0, 70.09
2026-07-31T22:06:27,304276365+08:00
0, 4, 0, 69.65
1, 1, 0, 72.52
2, 1, 0, 68.28
3, 1, 0, 71.63
4, 1, 0, 69.58
5, 1, 0, 69.91
6, 1, 0, 69.95
7, 1, 0, 70.10
2026-07-31T22:06:37,515520190+08:00
0, 4, 0, 69.64
1, 1, 0, 72.55
2, 1, 0, 68.29
3, 1, 0, 71.71
4, 1, 0, 69.62
5, 1, 0, 69.94
6, 1, 0, 69.92
7, 1, 0, 70.15
2026-07-31T22:06:47,774120129+08:00
0, 13510, 70, 166.13
1, 1, 0, 72.63
2, 1, 0, 68.27
3, 1, 0, 71.66
4, 1, 0, 69.69
5, 1, 0, 69.92
6, 1, 0, 70.03
7, 1, 0, 70.16
2026-07-31T22:06:58,019235779+08:00
0, 13510, 0, 116.27
1, 1, 0, 72.51
2, 1, 0, 68.31
3, 1, 0, 71.69
4, 1, 0, 69.62
5, 1, 0, 69.92
6, 1, 0, 69.98
7, 1, 0, 70.13
2026-07-31T22:07:08,266431034+08:00
0, 1, 0, 70.14
1, 1, 0, 72.64
2, 1, 0, 68.32
3, 1, 0, 71.72
4, 1, 0, 69.63
5, 1, 0, 69.95
6, 1, 0, 69.91
7, 1, 0, 70.16
2026-07-31T22:07:18,498377513+08:00
0, 1, 0, 69.93
1, 1, 0, 72.63
2, 1, 0, 68.26
3, 1, 0, 71.63
4, 1, 0, 69.64
5, 1, 0, 69.90
6, 1, 0, 69.99
7, 1, 0, 70.10
2026-07-31T22:07:28,720246994+08:00
0, 1, 0, 69.96
1, 1, 0, 72.75
2, 1, 0, 68.29
3, 1, 0, 71.66
4, 1, 0, 69.69
5, 1, 0, 69.95
6, 1, 0, 69.97
7, 1, 0, 70.13
2026-07-31T22:07:38,952884700+08:00
0, 1, 0, 69.92
1, 1, 0, 72.57
2, 1, 0, 68.31
3, 1, 0, 71.75
4, 1, 0, 69.57
5, 1, 0, 69.89
6, 1, 0, 69.95
7, 1, 0, 70.16
2026-07-31T22:07:49,178138649+08:00
0, 1, 0, 69.84
1, 1, 0, 72.67
2, 1, 0, 68.30
3, 1, 0, 71.71
4, 1, 0, 69.61
5, 1, 0, 69.97
6, 1, 0, 69.92
7, 1, 0, 70.13
2026-07-31T22:07:59,398173145+08:00
0, 1, 0, 69.91
1, 1, 0, 72.58
2, 1, 0, 68.31
3, 1, 0, 71.69
4, 1, 0, 69.69
5, 1, 0, 69.91
6, 1, 0, 70.00
7, 1, 0, 70.13
