2026-07-31T22:20:39,331644393+08:00
0, 1, 0, 69.78
1, 1, 0, 72.75
2, 1, 0, 68.34
3, 1, 0, 71.82
4, 1, 0, 70.06
5, 1, 0, 70.21
6, 1, 0, 69.86
7, 1, 0, 69.97
2026-07-31T22:20:44,518889167+08:00
0, 1, 0, 69.92
1, 1, 0, 72.71
2, 1, 0, 68.31
3, 1, 0, 71.70
4, 1, 0, 70.08
5, 1, 0, 70.18
6, 1, 0, 69.84
7, 1, 0, 69.98
2026-07-31T22:20:49,707856088+08:00
0, 1, 0, 69.89
1, 1, 0, 72.70
2, 1, 0, 68.34
3, 1, 0, 71.77
4, 1, 0, 70.04
5, 1, 0, 70.16
6, 1, 0, 69.90
7, 1, 0, 70.00
2026-07-31T22:20:54,898367884+08:00
0, 1, 0, 69.89
1, 1, 0, 72.64
2, 1, 0, 68.30
3, 1, 0, 71.77
4, 1, 0, 70.04
5, 1, 0, 70.10
6, 1, 0, 69.81
7, 1, 0, 69.95
2026-07-31T22:21:00,092857480+08:00
0, 1, 0, 69.92
1, 1, 0, 72.64
2, 1, 0, 68.29
3, 1, 0, 71.72
4, 1, 0, 70.08
5, 1, 0, 70.08
6, 1, 0, 69.82
7, 1, 0, 69.97
2026-07-31T22:21:05,274142096+08:00
0, 1, 0, 69.77
1, 1, 0, 72.73
2, 1, 0, 68.33
3, 1, 0, 71.75
4, 1, 0, 70.04
5, 1, 0, 70.09
6, 1, 0, 69.78
7, 1, 0, 69.95
2026-07-31T22:21:10,531884319+08:00
0, 4, 0, 69.90
1, 4, 0, 72.67
2, 4, 0, 68.34
3, 4, 0, 71.75
4, 4, 0, 70.10
5, 4, 0, 70.11
6, 1, 0, 69.75
7, 1, 0, 69.93
2026-07-31T22:21:16,297590961+08:00
0, 4, 0, 69.75
1, 4, 0, 72.66
2, 4, 0, 68.35
3, 4, 0, 71.70
4, 4, 0, 70.09
5, 4, 0, 70.15
6, 4, 0, 69.76
7, 4, 0, 69.96
2026-07-31T22:21:21,476846716+08:00
0, 1, 0, 69.66
1, 1, 0, 72.57
2, 1, 0, 68.19
3, 1, 0, 71.62
4, 1, 0, 69.92
5, 1, 0, 70.02
6, 1, 0, 69.75
7, 1, 0, 69.89
2026-07-31T22:21:26,676594241+08:00
0, 1, 0, 69.71
1, 1, 0, 72.52
2, 1, 0, 68.21
3, 1, 0, 71.60
4, 1, 0, 69.99
5, 1, 0, 70.04
6, 1, 0, 69.73
7, 1, 0, 69.91
2026-07-31T22:21:31,865020632+08:00
0, 1, 0, 69.71
1, 1, 0, 72.71
2, 1, 0, 68.15
3, 1, 0, 71.61
4, 1, 0, 69.96
5, 1, 0, 69.99
6, 1, 0, 69.74
7, 1, 0, 69.92
2026-07-31T22:21:37,040596788+08:00
0, 4, 0, 69.89
1, 4, 0, 72.52
2, 4, 0, 68.23
3, 4, 0, 71.66
4, 4, 0, 70.04
5, 4, 0, 70.02
6, 4, 0, 69.73
7, 4, 0, 72.96
2026-07-31T22:21:42,740979461+08:00
0, 4, 0, 69.85
1, 4, 0, 72.59
2, 4, 0, 68.22
3, 4, 0, 71.61
4, 4, 0, 70.06
5, 4, 0, 70.05
6, 4, 0, 69.78
7, 4, 0, 69.93
2026-07-31T22:21:49,296511757+08:00
0, 4, 0, 69.86
1, 4, 0, 72.69
2, 4, 0, 68.18
3, 4, 0, 71.70
4, 4, 0, 70.02
5, 4, 0, 70.00
6, 4, 0, 69.70
7, 4, 0, 69.89
2026-07-31T22:21:54,512470234+08:00
0, 4, 0, 69.90
1, 4, 0, 72.58
2, 4, 0, 68.26
3, 4, 0, 71.71
4, 4, 0, 69.99
5, 4, 0, 70.00
6, 4, 0, 69.68
7, 4, 0, 69.88
2026-07-31T22:21:59,771640059+08:00
0, 4, 0, 69.88
1, 4, 0, 72.61
2, 4, 0, 68.24
3, 4, 0, 71.65
4, 4, 0, 70.07
5, 4, 0, 70.00
6, 4, 0, 69.71
7, 4, 0, 69.86
2026-07-31T22:22:04,963458404+08:00
0, 730, 0, 114.62
1, 730, 0, 117.37
2, 730, 0, 114.43
3, 730, 0, 114.58
4, 730, 0, 113.34
5, 730, 0, 116.56
6, 730, 0, 114.70
7, 730, 0, 117.58
2026-07-31T22:22:10,420919660+08:00
0, 1504, 0, 114.63
1, 1504, 0, 117.52
2, 1504, 0, 114.53
3, 1504, 0, 114.71
4, 1504, 0, 113.43
5, 1504, 0, 116.62
6, 1504, 0, 114.85
7, 1504, 0, 117.68
2026-07-31T22:22:15,688277609+08:00
0, 1504, 0, 114.69
1, 1504, 0, 117.54
2, 1504, 0, 114.61
