2026-07-31T22:13:38,260848236+08:00
0, 1, 0, 69.88
1, 1, 0, 72.53
2, 1, 0, 68.24
3, 1, 0, 71.65
4, 1, 0, 69.55
5, 1, 0, 69.85
6, 1, 0, 69.95
7, 1, 0, 70.26
2026-07-31T22:13:43,503718645+08:00
0, 1, 0, 69.86
1, 1, 0, 72.48
2, 1, 0, 68.21
3, 1, 0, 71.63
4, 1, 0, 69.57
5, 1, 0, 69.85
6, 1, 0, 69.91
7, 1, 0, 70.29
2026-07-31T22:13:48,740160770+08:00
0, 4, 0, 69.88
1, 2, 0, 72.63
2, 1, 0, 68.20
3, 1, 0, 71.62
4, 1, 0, 69.56
5, 1, 0, 69.89
6, 1, 0, 69.91
7, 1, 0, 70.30
2026-07-31T22:13:54,759113197+08:00
0, 4, 0, 69.86
1, 4, 0, 72.64
2, 4, 0, 68.23
3, 4, 0, 71.60
4, 4, 0, 69.57
5, 4, 0, 69.89
6, 4, 0, 69.87
7, 4, 0, 70.29
2026-07-31T22:13:59,972265370+08:00
0, 1, 0, 69.83
1, 1, 0, 72.60
2, 1, 0, 68.16
3, 1, 0, 71.67
4, 1, 0, 69.49
5, 1, 0, 69.87
6, 1, 0, 69.82
7, 1, 0, 70.25
2026-07-31T22:14:05,167919461+08:00
0, 1, 0, 69.86
1, 1, 0, 72.67
2, 1, 0, 68.20
3, 1, 0, 71.66
4, 1, 0, 69.54
5, 1, 0, 69.82
6, 1, 0, 69.86
7, 1, 0, 70.26
2026-07-31T22:14:10,366612938+08:00
0, 1, 0, 69.91
1, 1, 0, 72.71
2, 1, 0, 68.25
3, 1, 0, 71.69
4, 1, 0, 69.62
5, 1, 0, 69.86
6, 1, 0, 69.85
7, 1, 0, 70.31
2026-07-31T22:14:16,757728337+08:00
0, 4, 0, 69.89
1, 4, 0, 72.46
2, 4, 0, 68.26
3, 4, 0, 71.67
4, 4, 0, 69.63
5, 4, 0, 69.86
6, 4, 0, 69.89
7, 4, 0, 70.28
2026-07-31T22:14:21,939702250+08:00
0, 4, 0, 69.92
1, 4, 0, 72.64
2, 4, 0, 68.22
3, 4, 0, 71.67
4, 4, 0, 69.65
5, 4, 0, 69.87
6, 4, 0, 69.94
7, 4, 0, 70.27
2026-07-31T22:14:27,364904832+08:00
0, 4, 0, 69.87
1, 4, 0, 72.56
2, 4, 0, 68.26
3, 4, 0, 71.62
4, 4, 0, 69.59
5, 4, 0, 69.86
6, 4, 0, 69.94
7, 4, 0, 70.22
2026-07-31T22:14:32,671661507+08:00
0, 4, 0, 69.81
1, 4, 0, 72.59
2, 4, 0, 68.23
3, 4, 0, 71.61
4, 4, 0, 69.54
5, 4, 0, 69.86
6, 4, 0, 69.92
7, 4, 0, 70.32
2026-07-31T22:14:37,874473090+08:00
0, 4, 0, 69.85
1, 4, 0, 72.56
2, 4, 0, 68.23
3, 4, 0, 71.64
4, 4, 0, 69.60
5, 4, 0, 69.91
6, 4, 0, 69.88
7, 4, 0, 70.32
2026-07-31T22:14:43,117572463+08:00
0, 2380, 15, 114.36
1, 2404, 16, 119.22
2, 2404, 11, 113.60
3, 2404, 10, 115.46
4, 2424, 4, 114.08
5, 2424, 7, 116.34
6, 2448, 11, 114.76
7, 2448, 13, 117.39
2026-07-31T22:14:48,302367427+08:00
0, 13592, 0, 114.18
1, 13878, 0, 118.82
2, 13616, 0, 113.29
3, 13604, 0, 115.26
4, 13866, 0, 113.44
5, 13604, 0, 115.85
6, 13604, 0, 114.43
7, 13604, 0, 117.09
2026-07-31T22:14:53,522974148+08:00
0, 13592, 0, 114.22
1, 13878, 0, 118.91
2, 13616, 0, 113.34
3, 13604, 0, 115.32
4, 13866, 0, 113.47
5, 13604, 0, 115.83
6, 13604, 0, 114.55
7, 13604, 0, 117.18
2026-07-31T22:14:58,732436385+08:00
0, 13592, 0, 114.29
1, 13878, 0, 118.88
2, 13616, 0, 113.47
3, 13604, 0, 115.42
4, 13866, 0, 113.50
5, 13604, 0, 115.92
6, 13604, 0, 114.71
7, 13604, 0, 117.24
2026-07-31T22:15:03,937143574+08:00
0, 13592, 0, 114.29
1, 13878, 0, 119.01
2, 13616, 0, 113.56
3, 13604, 0, 115.40
4, 13866, 0, 113.56
5, 13604, 0, 115.93
6, 13604, 0, 114.77
7, 13604, 0, 117.30
2026-07-31T22:15:09,146870158+08:00
0, 13592, 0, 114.31
1, 13878, 0, 119.01
2, 13616, 0, 113.59
3, 13604, 0, 115.52
4, 13866, 0, 113.55
5, 13604, 0, 116.04
6, 13604, 0, 114.80
7, 13604, 0, 117.37
2026-07-31T22:15:14,329894555+08:00
0, 13592, 0, 114.35
1, 13878, 0, 119.06
2, 13616, 0, 113.61
3, 13604, 0, 115.56
4, 13866, 0, 113.61
5, 13604, 0, 116.16
6, 13604, 0, 114.90
7, 13604, 0, 117.39
2026-07-31T22:15:19,519256148+08:00
0, 13592, 0, 114.44
1, 13878, 0, 119.23
2, 13616, 0, 113.67
3, 13604, 0, 115.63
4, 13866, 0, 113.63
5, 13604, 0, 116.15
6, 13604, 0, 114.90
7, 13604, 0, 117.38
2026-07-31T22:15:24,736246397+08:00
0, 13592, 0, 114.49
1, 13878, 0, 119.31
2, 13616, 0, 113.75
3, 13604, 0, 115.62
4, 13866, 0, 113.74
5, 13604, 0, 116.22
6, 13604, 0, 114.96
7, 13604, 0, 117.43
2026-07-31T22:15:29,900903661+08:00
0, 13592, 0, 114.51
1, 13878, 0, 119.30
2, 13616, 0, 113.79
3, 13604, 0, 115.65
4, 13866, 0, 113.73
5, 13604, 0, 116.20
6, 13604, 0, 115.01
7, 13604, 0, 117.46
2026-07-31T22:15:35,044433808+08:00
0, 13592, 0, 114.47
1, 13878, 0, 119.36
2, 13616, 0, 113.88
3, 13604, 0, 115.71
4, 13866, 0, 113.75
5, 13604, 0, 116.25
